Repositorio,Homepage,URLs_Analisadas,URLs_Sucesso,Status,Score_Acessibilidade,Score_Display,Total_Violacoes,Total_Warnings,Violacoes_Nivel_A,Violacoes_Nivel_AA,Violacoes_Nivel_AAA,Violacoes_Best_Practice,Violacoes_Experimental,Violacoes_Deprecated,Violacoes_Indefinido,Performance_Score,Best_Practices_Score,SEO_Score
openstreetmap/openstreetmap-website,https://www.openstreetmap.org/,1,1,SUCCESS,0.91,91,2,0,1,0,0,1,0,0,0,0,0,0
allegro/turnilo,https://allegro.github.io/turnilo/,1,1,SUCCESS,0.96,96,1,0,0,1,0,0,0,0,0,0,0,0
incentius-foss/WhatTheDuck,https://whattheduck.incentius.com/,1,1,SUCCESS,0.68,68,6,0,4,1,0,1,0,0,0,0,0,0
geonetwork/core-geonetwork,http://geonetwork-opensource.org/,1,1,SUCCESS,0.74,74,3,0,2,1,0,0,0,0,0,0,0,0
subhamBharadwaz/scribbly,https://scribbly.subhambharadwaz.com,3,3,SUCCESS,0.87,87,5,0,3,1,0,0,0,1,0,0,0,0
SuperViz/superviz,https://superviz.com,10,6,SUCCESS,0.86,86,15,0,10,3,0,2,0,0,0,0,0,0
louislam/uptime-kuma,https://uptime.kuma.pet,1,1,SUCCESS,0.9,90,1,0,0,1,0,0,0,0,0,0,0,0
h2oai/wave,https://wave.h2o.ai,10,10,SUCCESS,0.88,88,26,0,12,1,0,13,0,0,0,0,0,0
Ajaxy/telegram-tt,https://web.telegram.org/a,1,1,SUCCESS,0.82,82,2,0,1,1,0,0,0,0,0,0,0,0
wuhan2020/WebApp,https://wuhan2020.kaiyuanshe.cn/,1,1,SUCCESS,0.86,86,3,0,1,1,0,1,0,0,0,0,0,0
cloudron-io/meemo,https://meemo.minimal-space.de,1,1,SUCCESS,0.64,64,4,0,2,1,0,1,0,0,0,0,0,0
path-yu/vue3-cloud-music,https://cloud-music-eight-nu.vercel.app/#/discovery,1,1,SUCCESS,0.71,71,6,0,6,0,0,0,0,0,0,0,0,0
SouJunior/vagas-webapp,https://vagas.soujunior.tech,1,0,ERROR,,,,,,,,,,,,,,
axelor/open-suite-webapp,http://axelor.com,10,10,SUCCESS,0.74,74,47,0,25,20,0,2,0,0,0,0,0,0
crosshare-org/crosshare,https://crosshare.org,1,1,SUCCESS,0.89,89,3,0,1,1,0,1,0,0,0,0,0,0
qwinsi/tex2typst-webapp,https://qwinsi.github.io/tex2typst-webapp/,3,3,SUCCESS,0.72,72,3,0,2,1,0,0,0,0,0,0,0,0
qoomon/smart-life-webapp,https://qoomon.github.io/smart-life-webapp/,1,1,SUCCESS,0.87,87,2,0,1,1,0,0,0,0,0,0,0,0
premieroctet/photoshot,https://photoshot.app,10,10,SUCCESS,0.88,88,31,0,10,6,0,15,0,0,0,0,0,0
Privoce/vocechat-web,https://privoce.voce.chat/,1,0,ERROR,,,,,,,,,,,,,,
wavebox/waveboxapp,https://wavebox.io,1,0,ERROR,,,,,,,,,,,,,,
raindropio/app,https://app.raindrop.io,1,1,SUCCESS,0.54,54,6,0,3,2,0,1,0,0,0,0,0,0
robertying/learnX,https://tsinghua.app/learnX,1,1,SUCCESS,1,100,0,0,0,0,0,0,0,0,0,0,0,0
titaniumnetwork-dev/Ultraviolet-App,https://docs.titaniumnetwork.org/proxies/ultraviolet,1,1,SUCCESS,0.87,87,3,0,1,1,0,1,0,0,0,0,0,0
StudentiUniMi/website,https://studentiunimi.it/,10,8,SUCCESS,0.91,91,11,0,1,8,0,2,0,0,0,0,0,0
mtgjson/mtgjson-website,https://mtgjson.com,1,1,SUCCESS,0.95,95,1,0,1,0,0,0,0,0,0,0,0,0
