Repositorio,Homepage,URLs_Analisadas,URLs_Sucesso,Status,ErrorsTotal,WarningsTotal,NoticesTotal,ErrorsA,ErrorsAA,ErrorsAAA,ErrorsIndefinido,TaxaSucessoAcessibilidade
openstreetmap/openstreetmap-website,https://www.openstreetmap.org/,1,1,SUCCESS,38,0,0,0,38,0,0,0.0000
allegro/turnilo,https://allegro.github.io/turnilo/,1,1,SUCCESS,2,0,0,0,2,0,0,0.0000
incentius-foss/WhatTheDuck,https://whattheduck.incentius.com/,1,1,SUCCESS,0,0,0,0,0,0,0,1
geonetwork/core-geonetwork,http://geonetwork-opensource.org/,1,1,SUCCESS,73,0,0,0,73,0,0,0.0000
subhamBharadwaz/scribbly,https://scribbly.subhambharadwaz.com,3,3,SUCCESS,60,0,0,0,60,0,0,0.0000
SuperViz/superviz,https://superviz.com,10,10,SUCCESS,521,0,0,0,521,0,0,0.0000
louislam/uptime-kuma,https://uptime.kuma.pet,1,1,SUCCESS,2,0,0,0,2,0,0,0.0000
h2oai/wave,https://wave.h2o.ai,10,10,SUCCESS,268,0,0,0,268,0,0,0.0000
Ajaxy/telegram-tt,https://web.telegram.org/a,1,1,SUCCESS,3,0,0,0,3,0,0,0.0000
wuhan2020/WebApp,https://wuhan2020.kaiyuanshe.cn/,1,1,SUCCESS,20,0,0,0,20,0,0,0.0000
cloudron-io/meemo,https://meemo.minimal-space.de,1,1,SUCCESS,13,0,0,0,13,0,0,0.0000
path-yu/vue3-cloud-music,https://cloud-music-eight-nu.vercel.app/#/discovery,1,1,SUCCESS,45,0,0,0,45,0,0,0.0000
SouJunior/vagas-webapp,https://vagas.soujunior.tech,1,0,ERROR,,,,,,,,
axelor/open-suite-webapp,http://axelor.com,10,10,SUCCESS,561,0,0,0,561,0,0,0.0000
crosshare-org/crosshare,https://crosshare.org,1,1,SUCCESS,2,0,0,0,2,0,0,0.0000
qwinsi/tex2typst-webapp,https://qwinsi.github.io/tex2typst-webapp/,3,3,SUCCESS,4,0,0,0,4,0,0,0.0000
qoomon/smart-life-webapp,https://qoomon.github.io/smart-life-webapp/,1,1,SUCCESS,3,0,0,0,3,0,0,0.0000
premieroctet/photoshot,https://photoshot.app,10,10,SUCCESS,66,0,0,0,66,0,0,0.0000
Privoce/vocechat-web,https://privoce.voce.chat/,1,1,SUCCESS,0,0,0,0,0,0,0,1
wavebox/waveboxapp,https://wavebox.io,1,1,SUCCESS,10,0,0,0,10,0,0,0.0000
raindropio/app,https://app.raindrop.io,1,1,SUCCESS,11,0,0,0,11,0,0,0.0000
robertying/learnX,https://tsinghua.app/learnX,1,1,SUCCESS,5,0,0,0,5,0,0,0.0000
titaniumnetwork-dev/Ultraviolet-App,https://docs.titaniumnetwork.org/proxies/ultraviolet,1,1,SUCCESS,5,0,0,0,5,0,0,0.0000
StudentiUniMi/website,https://studentiunimi.it/,10,10,SUCCESS,95,0,0,0,95,0,0,0.0000
mtgjson/mtgjson-website,https://mtgjson.com,1,1,SUCCESS,0,0,0,0,0,0,0,1
phpbb/area51,https://area51.phpbb.com,1,1,SUCCESS,0,0,0,0,0,0,0,1
casdoor/casdoor,https://casdoor.org,10,10,SUCCESS,102,0,0,0,102,0,0,0.0000
HuolalaTech/page-spy-web,https://www.pagespy.org,1,1,SUCCESS,17,0,0,0,17,0,0,0.0000
Openpanel-dev/openpanel,https://openpanel.dev,10,10,SUCCESS,277,0,0,0,277,0,0,0.0000
flexn-io/renative,https://renative.org,10,10,SUCCESS,719,0,0,0,719,0,0,0.0000
dnnsoftware/Dnn.Platform,https://dnncommunity.org/,1,1,SUCCESS,87,0,0,0,87,0,0,0.0000
SonicCloudOrg/sonic-client-web,https://soniccloudorg.github.io/,1,1,SUCCESS,29,0,0,0,29,0,0,0.0000
keymanapp/keyman,https://keyman.com/,1,1,SUCCESS,119,0,0,0,119,0,0,0.0000
u-wave/web,https://demo.u-wave.net,1,1,SUCCESS,2,0,0,0,2,0,0,0.0000
invoiceninja/ui,https://app.invoicing.co,1,1,SUCCESS,7,0,0,0,7,0,0,0.0000
iiitv/getmein-web,https://getmeiniiitv.glitch.me/,1,1,SUCCESS,1,0,0,0,1,0,0,0.0000
discord-tickets/portal,https://portal.discordtickets.app,1,1,SUCCESS,1,0,0,0,1,0,0,0.0000
community-network/gametools.network-website,https://gametools.network/,6,6,SUCCESS,21,0,0,0,21,0,0,0.0000
AOSC-Dev/website-2023,https://aosc.io/,10,10,SUCCESS,0,0,0,0,0,0,0,1
srl-labs/yang-browser,https://yang.srlinux.dev,1,1,SUCCESS,3,0,0,0,3,0,0,0.0000
BuiKhanhHuy/my-job-web-app,http://myjob.id.vn/,1,0,ERROR,,,,,,,,
Soum-ik/AI-Powerd-Job-Portal,https://job-search-azure.vercel.app,1,1,SUCCESS,0,0,0,0,0,0,0,1
IIIT-Delhi/smp-portal,https://smpportal.iiitd.edu.in,1,0,ERROR,,,,,,,,
Sanjida-Khanam778/movie-portal-client,https://movie-portal-8bfdb.web.app,1,1,SUCCESS,33,0,0,0,33,0,0,0.0000
md-rejoyan-islam/doctor-portal,https://doctors-portal-f127f.web.app/,1,1,SUCCESS,7,0,0,0,7,0,0,0.0000
lewiii254/Job-Portal,https://job-portal-hazel-seven.vercel.app,1,1,SUCCESS,29,0,0,0,29,0,0,0.0000
IPS-LMU/EMU-webApp,http://ips-lmu.github.io/EMU-webApp/,1,1,SUCCESS,9,0,0,0,9,0,0,0.0000
ServiceWeaver/onlineboutique,https://onlineboutique.serviceweaver.dev/,1,0,ERROR,,,,,,,,
