Repositorio,Homepage,Estrelas,Ultimo_Commit,AXE,Pa11y,WAVE,AChecker,Lighthouse,Asqatasun,HTML_CodeSniffer,AplicacaoWeb
openstreetmap/openstreetmap-website,https://www.openstreetmap.org/,2520,2025-09-25T17:40:16Z,true,false,false,false,false,false,false,Sim
allegro/turnilo,https://allegro.github.io/turnilo/,754,2025-07-21T05:41:42Z,false,false,false,false,true,false,false,Sim
incentius-foss/WhatTheDuck,https://whattheduck.incentius.com/,629,2025-05-30T10:22:48Z,true,false,false,false,false,false,false,Sim
geonetwork/core-geonetwork,http://geonetwork-opensource.org/,473,2025-09-27T13:36:44Z,true,false,false,false,false,false,false,Sim
subhamBharadwaz/scribbly,https://scribbly.subhambharadwaz.com,452,2025-06-18T01:24:16Z,true,false,false,false,false,false,false,Sim
SuperViz/superviz,https://superviz.com,381,2025-03-10T13:55:11Z,true,false,false,false,true,false,false,Sim
louislam/uptime-kuma,https://uptime.kuma.pet,75448,2025-09-24T07:08:57Z,true,false,false,false,false,false,false,Sim
h2oai/wave,https://wave.h2o.ai,4190,2025-09-26T12:35:12Z,false,false,true,false,false,false,false,Sim
Ajaxy/telegram-tt,https://web.telegram.org/a,3016,2025-09-19T12:39:00Z,true,false,false,false,false,false,false,Sim
wuhan2020/WebApp,https://wuhan2020.kaiyuanshe.cn/,393,2024-11-10T21:26:11Z,true,false,false,false,false,false,false,Sim
cloudron-io/meemo,https://meemo.minimal-space.de,374,2025-03-31T13:49:48Z,true,false,false,false,false,false,false,Sim
path-yu/vue3-cloud-music,https://cloud-music-eight-nu.vercel.app/#/discovery,352,2025-09-19T03:50:35Z,true,false,false,false,false,false,false,Sim
SouJunior/vagas-webapp,https://vagas.soujunior.tech,254,2025-09-18T14:43:20Z,true,false,false,false,false,false,false,Sim
axelor/open-suite-webapp,http://axelor.com,195,2025-09-25T16:39:33Z,true,false,false,false,false,false,false,Sim
crosshare-org/crosshare,https://crosshare.org,147,2025-08-19T18:44:59Z,true,false,false,false,false,false,false,Sim
qwinsi/tex2typst-webapp,https://qwinsi.github.io/tex2typst-webapp/,89,2025-09-19T18:03:56Z,true,false,false,false,false,false,false,Sim
qoomon/smart-life-webapp,https://qoomon.github.io/smart-life-webapp/,65,2025-09-22T10:28:53Z,true,false,false,false,false,false,false,Sim
premieroctet/photoshot,https://photoshot.app,3838,2024-12-07T18:48:19Z,true,false,false,false,false,false,false,Sim
Privoce/vocechat-web,https://privoce.voce.chat/,2018,2025-08-22T01:55:10Z,true,false,true,false,false,false,false,Sim
wavebox/waveboxapp,https://wavebox.io,1358,2025-09-24T07:46:17Z,false,false,true,false,false,false,false,Sim
raindropio/app,https://app.raindrop.io,1278,2025-09-26T09:01:14Z,true,false,false,false,false,false,false,Sim
robertying/learnX,https://tsinghua.app/learnX,279,2025-09-24T03:01:14Z,true,false,false,false,true,false,false,Sim
titaniumnetwork-dev/Ultraviolet-App,https://docs.titaniumnetwork.org/proxies/ultraviolet,349,2025-08-22T04:20:32Z,true,false,false,false,false,false,false,Sim
StudentiUniMi/website,https://studentiunimi.it/,60,2025-09-11T18:02:20Z,true,false,false,false,false,false,false,Sim
mtgjson/mtgjson-website,https://mtgjson.com,40,2025-09-21T02:19:38Z,true,false,false,false,false,false,false,Sim
phpbb/area51,https://area51.phpbb.com,18,2025-09-27T10:39:50Z,true,false,false,false,false,false,false,Sim
casdoor/casdoor,https://casdoor.org,12296,2025-09-27T07:54:13Z,true,false,false,false,true,false,false,Sim
HuolalaTech/page-spy-web,https://www.pagespy.org,5427,2025-09-28T03:38:25Z,true,false,false,false,false,false,false,Sim
Openpanel-dev/openpanel,https://openpanel.dev,4523,2025-09-26T18:32:58Z,true,false,false,false,true,false,false,Sim
flexn-io/renative,https://renative.org,1895,2025-03-31T07:32:00Z,true,false,false,false,true,false,false,Sim
dnnsoftware/Dnn.Platform,https://dnncommunity.org/,1095,2025-09-23T21:54:36Z,true,false,false,false,false,false,false,Sim
SonicCloudOrg/sonic-client-web,https://soniccloudorg.github.io/,667,2024-10-16T03:15:36Z,true,false,false,false,false,false,false,Sim
keymanapp/keyman,https://keyman.com/,474,2025-09-26T12:21:36Z,true,false,false,false,true,false,false,Sim
u-wave/web,https://demo.u-wave.net,70,2025-09-19T08:47:00Z,true,false,true,false,false,false,false,Sim
invoiceninja/ui,https://app.invoicing.co,81,2025-09-23T14:02:30Z,true,false,false,false,false,false,false,Sim
iiitv/getmein-web,https://getmeiniiitv.glitch.me/,29,2024-09-29T20:18:41Z,true,false,false,false,false,false,false,Sim
discord-tickets/portal,https://portal.discordtickets.app,18,2025-06-15T12:41:40Z,true,false,false,false,false,false,false,Sim
community-network/gametools.network-website,https://gametools.network/,17,2025-08-28T19:12:16Z,true,false,false,false,false,false,false,Sim
AOSC-Dev/website-2023,https://aosc.io/,14,2025-09-27T08:30:58Z,true,false,false,false,false,false,false,Sim
srl-labs/yang-browser,https://yang.srlinux.dev,14,2025-09-19T08:21:09Z,true,false,false,false,false,false,false,Sim
BuiKhanhHuy/my-job-web-app,http://myjob.id.vn/,9,2025-05-10T20:17:01Z,true,false,false,false,false,false,false,Sim
Soum-ik/AI-Powerd-Job-Portal,https://job-search-azure.vercel.app,8,2025-04-19T20:14:03Z,true,false,false,false,false,false,false,Sim
IIIT-Delhi/smp-portal,https://smpportal.iiitd.edu.in,5,2025-08-24T10:22:17Z,true,false,false,false,false,false,false,Sim
Sanjida-Khanam778/movie-portal-client,https://movie-portal-8bfdb.web.app,5,2025-04-23T02:23:14Z,true,false,false,false,false,false,false,Sim
md-rejoyan-islam/doctor-portal,https://doctors-portal-f127f.web.app/,4,2025-08-04T07:07:47Z,true,false,false,false,false,false,false,Sim
lewiii254/Job-Portal,https://job-portal-hazel-seven.vercel.app,3,2025-03-13T12:55:34Z,true,false,false,false,false,false,false,Sim
IPS-LMU/EMU-webApp,http://ips-lmu.github.io/EMU-webApp/,52,2025-09-19T11:55:24Z,true,false,false,false,false,false,false,Sim
ServiceWeaver/onlineboutique,https://onlineboutique.serviceweaver.dev/,38,2024-10-11T17:49:36Z,true,false,false,false,false,false,false,Sim
mostafakamal22/Sprints-MERN-E-Banking-System,https://ebank-2t3r.onrender.com,24,2025-03-22T21:50:03Z,true,false,false,false,false,false,false,Sim
Rohit-RA-2020/Task-Management,https://eventally.vercel.app,23,2025-09-04T06:42:26Z,true,false,false,false,false,false,false,Sim
consiglionazionaledellericerche/cool-jconon,https://selezionionline.cnr.it,22,2025-09-24T17:22:53Z,true,false,false,false,false,false,false,Sim
perisicnikola37/car-market-laravel,http://auto-diler.herokuapp.com,10,2025-01-09T18:21:18Z,true,false,false,false,false,false,false,Sim
MiladJoodi/Full-Stack-Blog-App-with-Next.js15-MongoDB-Tailwind,https://Tiny-Blogs.Netlify.app,10,2025-08-25T13:06:39Z,true,false,false,false,false,false,false,Sim
AliSabet81/fullstack-ecommerce-client,https://fullstack-ecommerce-client-ali.vercel.app/,9,2025-01-04T06:01:28Z,true,false,false,false,false,false,false,Sim
MishraShardendu22/Secret-Message-Application,https://5-chan-shardendu-mishra.vercel.app/,9,2025-07-06T20:02:51Z,true,false,false,false,false,false,false,Sim
