Repositorio,Estrelas,Ultimo_Commit,Script_Name,Porta,Package_Manager,Has_Package_Json,AXE,Pa11y,WAVE,AChecker,Lighthouse,Asqatasun,HTML_CodeSniffer,AplicacaoWeb
StamusNetworks/scirius,667,2024-12-09T15:01:18Z,start,Porta não identificada,npm,sim,true,false,false,false,false,false,false,Sim
rohanmistry231/Real-Estate-Website-Project,36,2025-05-24T04:23:51Z,start,3000 (create-react-app padrão),npm,sim,true,false,false,false,false,false,false,Sim
archesproject/arches,256,2025-09-26T19:11:54Z,start,Porta não identificada,npm,sim,true,false,false,false,false,false,false,Sim
okp4/portal-web,92,2024-12-11T00:59:13Z,start,3000 (Next.js padrão),yarn,sim,true,false,false,false,false,false,false,Sim
waldur/waldur-homeport,26,2025-09-28T16:38:38Z,start,8001,yarn,sim,true,false,false,false,false,false,false,Sim
NUM-Forschungsdatenplattform/num-portal-webapp,9,2025-06-23T12:28:59Z,start,4200 (Angular padrão),npm,sim,true,false,false,false,false,false,false,Sim
RlphChrs/CAPSTONE_SASS_Web,6,2025-06-16T17:36:06Z,dev,5173 (Vite padrão),yarn,sim,true,false,false,false,false,false,false,Sim
nih-sparc/sparc-app,4,2025-09-15T23:33:57Z,start,3000 (Nuxt.js padrão),yarn,sim,true,false,false,false,false,false,false,Sim
Maruf-16203091/NewsWebPortal,3,2024-10-04T22:22:05Z,start,4200 (Angular padrão),npm,sim,true,false,false,false,false,false,false,Sim
Akshatjalan/Book-store-Reactjs,50,2024-11-02T01:27:11Z,start,3000 (create-react-app padrão),npm,sim,true,false,false,false,false,false,false,Sim
Shahed-Chy-Suzan/HouseRental,46,2024-12-18T15:50:40Z,dev,Porta não identificada,npm,sim,true,false,false,false,false,false,false,Sim
shamimcse1/Human-Resource-Management-Laravel,78,2024-10-27T04:02:55Z,dev,Porta não identificada,npm,sim,true,false,false,false,false,false,false,Sim
Kotlin/kmp-fullstack-conference-cms,9,2025-06-25T08:04:52Z,start:api,Porta não identificada,npm,sim,true,false,false,false,false,false,false,Sim
NextPr0gram/UrbanThreads-Team-project-7,5,2025-03-02T22:16:22Z,dev,5173 (Vite padrão),npm,sim,true,false,false,false,false,false,false,Sim
aadityajha1/linkify,4,2024-09-29T14:15:21Z,start,3000 (Next.js padrão),npm,sim,true,false,false,false,false,false,false,Sim
LOUBNATANASSA/FullStack-SpringBoot-Application,2,2025-03-29T03:19:45Z,start,3000 (create-react-app padrão),npm,sim,true,false,false,false,false,false,false,Sim
grafana/synthetic-monitoring-app,155,2025-09-26T17:21:23Z,dev,Porta não identificada,yarn,sim,true,false,false,false,false,false,false,Sim
